ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,sessions_per_day,km_per_drive,total_navigations,favorite_ratio,driving_consistency,inactive_days,inactive_ratio,device_android
61,retained,43,35,236.7279571,1756,29,53,1461.93937,954.0503968,8,8,iPhone,5.375,41.76969628571429,82,1.0,1.0,1748,0.9954441913439636,0
62,retained,69,56,81.66585433,1356,373,0,11014.87014,9143.800241,24,23,iPhone,2.875,196.6941096428572,373,1.0,0.9583333333333334,1332,0.9823008849557522,0
63,retained,253,203,298.6736471,1546,0,88,4695.169432,2146.467081,6,1,iPhone,42.16666666666666,23.12891345812808,88,1.0,0.1666666666666666,1540,0.9961190168175936,0
64,retained,4,3,113.8187866,1830,233,0,9624.439528,3213.049582,6,0,Android,0.6666666666666666,3208.1465093333336,233,1.0,0.0,1824,0.99672131147541,1
65,retained,12,12,478.4156826,1796,69,35,6931.284783,4643.478348,23,22,Android,0.5217391304347826,577.60706525,104,1.0,0.9565217391304348,1773,0.9871937639198218,1
66,retained,150,121,270.5629064,1347,0,0,1791.379149,253.7758791,30,26,iPhone,5.0,14.8047863553719,0,0.0,0.8666666666666667,1317,0.977728285077951,0
67,churned,36,29,50.08943164,1167,139,0,3215.221847,1594.991577,1,1,iPhone,36.0,110.86971886206896,139,1.0,1.0,1166,0.9991431019708654,0
68,retained,25,21,66.56667195,1619,147,11,3554.923388,2616.219443,19,18,iPhone,1.3157894736842106,169.2820660952381,158,1.0,0.9473684210526316,1600,0.9882643607164916,0
69,retained,36,30,132.3810261,2384,7,0,2485.994087,1197.510681,10,4,iPhone,3.6,82.86646956666667,7,1.0,0.4,2374,0.9958053691275168,0
70,churned,62,51,327.5779296,2285,381,0,5270.991501,2571.449828,16,16,Android,3.875,103.35277452941178,381,1.0,1.0,2269,0.9929978118161924,1
71,retained,248,200,248.3113428,2849,87,0,3377.481893,2032.029458,8,5,iPhone,31.0,16.887409465,87,1.0,0.625,2841,0.9971919971919972,0
72,retained,23,20,126.0890646,997,36,71,8054.086196,1506.312415,28,21,iPhone,0.8214285714285714,402.7043098,107,1.0,0.75,969,0.9719157472417252,0
73,retained,89,81,210.6642815,1189,0,68,5678.087584,1924.068701,29,22,iPhone,3.0689655172413794,70.09984671604938,68,1.0,0.7586206896551724,1160,0.975609756097561,0
74,retained,142,113,324.7514369,3001,806,18,1966.355964,872.2037088,29,20,iPhone,4.896551724137931,17.40138021238938,824,1.0,0.6896551724137931,2972,0.9903365544818394,0
75,retained,84,67,134.0383111,2868,177,55,2541.396988,1453.3281,22,21,iPhone,3.8181818181818175,37.93129832835821,232,1.0,0.9545454545454546,2846,0.9923291492329148,0
76,retained,30,28,73.91682979,1722,293,17,5574.224608,3842.845897,8,6,iPhone,3.75,199.0794502857143,310,1.0,0.75,1714,0.9953542392566784,0
77,,63,50,133.1041552,783,201,0,2649.015822,1517.20997,19,13,iPhone,3.3157894736842106,52.98031644,201,1.0,0.6842105263157895,764,0.9757343550447,0
78,retained,54,54,320.3440758,1285,0,77,2575.812329,987.0413442,29,20,Android,1.862068965517241,47.700228314814815,77,1.0,0.6896551724137931,1256,0.977431906614786,1
79,retained,97,84,209.2083212,1980,0,0,4471.194505,2104.72818,22,15,Android,4.409090909090909,53.22850601190477,0,0.0,0.6818181818181818,1958,0.9888888888888888,1
80,,116,93,436.0601833,1584,283,62,4183.409514,3121.889952,18,15,iPhone,6.444444444444445,44.982898,345,1.0,0.8333333333333334,1566,0.9886363636363636,0
81,churned,26,23,83.16688568,2118,335,0,944.2046415,455.0263064,2,0,Android,13.0,41.05237571739131,335,1.0,0.0,2116,0.9990557129367328,1
82,retained,16,16,40.74102349,484,373,61,3628.581195,2134.416647,9,9,iPhone,1.7777777777777777,226.7863246875,434,1.0,1.0,475,0.981404958677686,0
83,retained,22,17,130.7650795,199,75,28,4626.208693,1499.578879,29,24,Android,0.7586206896551724,272.129923117647,103,1.0,0.8275862068965517,170,0.8542713567839196,1
84,retained,18,18,446.7149825,1115,228,0,4798.273478,3831.848313,31,25,iPhone,0.5806451612903226,266.5707487777778,228,1.0,0.8064516129032258,1084,0.9721973094170404,0
85,retained,16,16,20.26166523,960,279,58,5044.128761,3437.228784,24,23,Android,0.6666666666666666,315.2580475625,337,1.0,0.9583333333333334,936,0.975,1
86,retained,57,47,72.55234081,1260,230,65,3644.416203,1020.232449,5,4,Android,11.4,77.54077027659575,295,1.0,0.8,1255,0.996031746031746,1
87,retained,18,18,197.7664549,1517,200,9,3771.957224,1639.140405,2,2,iPhone,9.0,209.55317911111112,209,1.0,1.0,1515,0.998681608437706,0
88,retained,306,246,320.2575311,2252,60,0,3595.562658,2420.119875,28,20,Android,10.928571428571429,14.616108365853655,60,1.0,0.7142857142857143,2224,0.9875666074600356,1
89,retained,35,28,71.61167794,1987,534,0,2422.61532,1156.60925,18,13,Android,1.9444444444444444,86.52197571428572,534,1.0,0.7222222222222222,1969,0.9909411172622044,1
90,retained,105,105,286.8490491,2826,168,0,2237.801562,1056.262155,4,0,iPhone,26.25,21.31239582857143,168,1.0,0.0,2822,0.9985845718329794,0
91,retained,117,94,156.839706,3479,286,17,1761.21432,310.7107283,28,26,iPhone,4.178571428571429,18.73632255319149,303,1.0,0.9285714285714286,3451,0.9919517102615694,0
92,retained,106,86,203.3186425,846,318,0,3737.339752,1055.547009,9,3,iPhone,11.77777777777778,43.457438976744186,318,1.0,0.3333333333333333,837,0.9893617021276596,0
93,retained,52,46,58.27949387,613,223,183,4742.485842,3196.94492,20,20,iPhone,2.6,103.09751830434784,406,1.0,1.0,593,0.967373572593801,0
94,retained,17,14,279.9773294,3440,95,56,2674.811414,229.6819476,2,2,iPhone,8.5,191.05795814285716,151,1.0,1.0,3438,0.9994186046511628,0
95,churned,116,95,192.6382907,359,142,0,4032.868589,2695.612209,1,0,iPhone,116.0,42.45124830526316,142,1.0,0.0,358,0.9972144846796658,0
96,churned,305,244,638.0401516,400,171,164,1896.894034,960.975077,19,13,Android,16.05263157894737,7.77415587704918,335,1.0,0.6842105263157895,381,0.9525,1
97,retained,0,0,559.5471117,2879,0,0,6668.84435,3511.370419,28,24,Android,0.0,inf,0,0.0,0.8571428571428571,2851,0.9902744008336228,1
98,,78,64,583.4927887,3414,0,0,1811.140893,642.1891216,12,11,Android,6.5,28.299076453125,0,0.0,0.9166666666666666,3402,0.9964850615114236,1
99,retained,34,34,67.80586996,1403,27,24,6254.94844,3742.935943,1,1,iPhone,34.0,183.9690717647059,51,1.0,1.0,1402,0.9992872416250892,0
100,churned,122,99,295.5242311,2482,167,0,3396.139646,1841.313356,2,0,iPhone,61.0,34.30444086868687,167,1.0,0.0,2480,0.999194198227236,0
101,retained,76,62,136.1968645,70,31,0,5700.894677,1041.768956,6,3,iPhone,12.666666666666666,91.94991414516127,31,1.0,0.5,64,0.9142857142857144,0
102,retained,113,91,236.2949809,1031,34,65,2810.720839,1245.591383,0,0,iPhone,inf,30.887042186813183,99,1.0,0.0,1031,1.0,0
103,retained,78,63,121.4956353,2231,0,9,2427.257066,831.6080142,21,18,iPhone,3.7142857142857135,38.52788993650794,9,1.0,0.8571428571428571,2210,0.990587180636486,0
104,churned,48,39,132.1688328,2279,194,0,2626.224474,1437.792565,24,24,Android,2.0,67.33908907692307,194,1.0,1.0,2255,0.9894690653795524,1
105,retained,37,30,53.99957919,710,2,30,5661.684796,2816.030953,26,20,Android,1.4230769230769231,188.7228265333333,32,1.0,0.7692307692307693,684,0.9633802816901408,1
106,retained,139,112,321.7948003,2298,237,58,1243.198074,675.2571618,29,23,Android,4.793103448275862,11.099982803571429,295,1.0,0.7931034482758621,2269,0.9873803307223672,1
107,retained,66,55,120.0854852,2515,0,0,2641.117738,2125.9414,16,14,iPhone,4.125,48.02032250909091,0,0.0,0.875,2499,0.9936381709741552,0
108,retained,29,23,56.53640154,677,309,0,5052.460683,868.0307127,7,5,iPhone,4.142857142857143,219.67220360869567,309,1.0,0.7142857142857143,670,0.9896602658788776,0
109,retained,38,38,77.18311377,2324,7,27,1702.406888,364.6328176,3,3,Android,12.666666666666666,44.800181263157896,34,1.0,1.0,2321,0.9987091222030982,1
110,retained,56,47,90.50690136,1714,0,0,1586.463423,733.9737947,15,13,Android,3.733333333333333,33.75454091489362,0,0.0,0.8666666666666667,1699,0.9912485414235706,1
111,,106,102,113.3790556,2228,14,0,2817.48184,2011.724274,17,13,Android,6.235294117647059,27.622370980392155,14,1.0,0.7647058823529411,2211,0.9923698384201076,1
112,retained,54,45,116.6071611,3240,14,79,1762.324979,1006.688166,10,6,Android,5.4,39.16277731111112,93,1.0,0.6,3230,0.9969135802469136,1
113,retained,91,73,168.251515,3045,198,187,792.4761859,490.3170508,21,13,Android,4.333333333333333,10.8558381630137,385,1.0,0.6190476190476191,3024,0.993103448275862,1
114,retained,18,15,85.47546123,1305,25,10,2727.785623,513.498205,7,7,iPhone,2.571428571428572,181.85237486666668,35,1.0,1.0,1298,0.9946360153256704,0
115,retained,40,32,52.76008722,314,0,0,1724.225763,904.4785419,0,0,iPhone,inf,53.88205509375,0,0.0,0.0,314,1.0,0
116,retained,23,19,55.70118982,943,13,0,1234.079017,865.2079368,4,4,Android,5.75,64.95152721052632,13,1.0,1.0,939,0.9957582184517496,1
117,retained,79,64,245.6239413,3016,0,92,4457.568347,1293.012432,25,20,Android,3.16,69.649505421875,92,1.0,0.8,2991,0.991710875331565,1
118,retained,42,34,174.1668226,1461,0,82,3478.887784,2343.429301,6,3,Android,7.0,102.32022894117648,82,1.0,0.5,1455,0.995893223819302,1
119,retained,192,155,234.4007225,2503,205,40,9041.333182,4364.070565,28,26,Android,6.857142857142857,58.33118181935484,245,1.0,0.9285714285714286,2475,0.9888134238913304,1
120,retained,16,14,403.4809775,1267,14,3,2585.059579,1690.346282,24,23,iPhone,0.6666666666666666,184.6471127857143,17,1.0,0.9583333333333334,1243,0.9810576164167324,0
121,churned,67,55,129.2595571,2922,310,15,2569.150563,1948.197506,11,7,iPhone,6.090909090909091,46.711828418181824,325,1.0,0.6363636363636364,2911,0.9962354551676934,0
122,retained,150,122,269.0140577,546,0,38,6446.129773,2611.811183,16,10,iPhone,9.375,52.83712928688525,38,1.0,0.625,530,0.9706959706959708,0
123,retained,31,25,130.3460437,3251,67,29,7712.174513,972.9860613,19,12,Android,1.631578947368421,308.48698052,96,1.0,0.631578947368421,3232,0.9941556444171024,1
124,churned,97,80,131.9129271,2929,37,0,4255.626774,866.8800721,12,9,Android,8.083333333333334,53.195334675000005,37,1.0,0.75,2917,0.99590303857972,1
125,retained,16,15,157.9590826,343,53,44,1730.393075,455.4794569,25,16,Android,0.64,115.35953833333332,97,1.0,0.64,318,0.9271137026239068,1
126,retained,148,118,167.2459681,2680,12,0,6206.237566,1879.524603,10,7,iPhone,14.8,52.59523361016949,12,1.0,0.7,2670,0.996268656716418,0
127,retained,402,322,510.9532675,496,0,132,5781.057241,515.2152664,24,21,iPhone,16.75,17.95359391614907,132,1.0,0.875,472,0.9516129032258064,0
128,retained,15,15,115.6572458,811,6,0,3090.907194,1572.509162,6,1,iPhone,2.5,206.0604796,6,1.0,0.1666666666666666,805,0.9926017262638718,0
129,retained,138,129,198.6097411,2053,62,39,2600.810383,1077.126474,26,23,iPhone,5.307692307692308,20.16132079844961,101,1.0,0.8846153846153846,2027,0.9873356064296152,0
130,churned,39,32,176.5371809,190,610,33,4846.91837,2681.366806,4,4,Android,9.75,151.4661990625,643,1.0,1.0,186,0.9789473684210528,1
131,retained,25,25,716.0780294,2739,0,11,11009.29294,205.8626513,19,17,Android,1.3157894736842106,440.3717176,11,1.0,0.8947368421052632,2720,0.9930631617378606,1
132,retained,7,6,65.07366594,3023,140,0,1378.65079,385.7186153,27,18,Android,0.2592592592592592,229.77513166666665,140,1.0,0.6666666666666666,2996,0.9910684750248098,1
133,retained,17,15,105.6192067,1748,44,13,2774.682089,681.2939989,5,2,Android,3.4,184.9788059333333,57,1.0,0.4,1743,0.9971395881006864,1
134,retained,33,27,256.7593388,3012,136,72,9522.433102,1175.241192,10,10,iPhone,3.3,352.6827074814815,208,1.0,1.0,3002,0.99667994687915,0
135,retained,40,32,102.9483312,3323,154,101,3465.589796,1951.540263,14,13,iPhone,2.857142857142857,108.299681125,255,1.0,0.9285714285714286,3309,0.9957869395124888,0
136,churned,89,82,91.52727513,2254,0,0,1772.191366,581.6487794,3,3,iPhone,29.666666666666668,21.61208982926829,0,0.0,1.0,2251,0.9986690328305236,0
137,retained,237,193,268.643805,1258,88,9,4478.18088,3120.903895,27,24,Android,8.777777777777779,23.203009740932643,97,1.0,0.8888888888888888,1231,0.978537360890302,1
138,retained,141,113,242.1291202,508,0,0,4136.026058,1841.184376,12,11,iPhone,11.75,36.60200051327434,0,0.0,0.9166666666666666,496,0.9763779527559056,0
139,retained,29,29,490.3315821,2551,120,73,6323.941583,3381.924229,15,15,Android,1.9333333333333331,218.06695113793103,193,1.0,1.0,2536,0.9941199529596236,1
140,retained,175,140,245.7357075,2808,145,27,5732.235928,1978.80378,3,3,iPhone,58.333333333333336,40.94454234285714,172,1.0,1.0,2805,0.998931623931624,0
141,retained,222,177,637.1520592,3021,71,95,2847.210995,1023.024294,29,24,iPhone,7.655172413793103,16.085937824858757,166,1.0,0.8275862068965517,2992,0.9904005296259516,0
142,,32,26,222.12931,208,55,10,2459.816477,874.4276172,11,7,iPhone,2.909090909090909,94.60832603846151,65,1.0,0.6363636363636364,197,0.9471153846153846,0
143,retained,45,37,124.6937427,3073,81,112,2422.060394,1466.9046,24,15,Android,1.875,65.46109172972973,193,1.0,0.625,3049,0.9921900423039376,1
144,retained,53,43,169.9292346,2389,0,24,5406.819727,3727.775268,17,17,iPhone,3.117647058823529,125.7399936511628,24,1.0,1.0,2372,0.9928840519045624,0
145,retained,49,40,421.6059953,3244,30,0,2810.309139,1608.434574,12,5,iPhone,4.083333333333333,70.257728475,30,1.0,0.4166666666666667,3232,0.996300863131936,0
146,retained,89,72,187.9245034,2507,43,28,854.3864466,619.1899061,25,22,iPhone,3.56,11.866478425,71,1.0,0.88,2482,0.9900279218189072,0
147,churned,231,186,268.4330673,2726,81,0,3162.956577,2625.667679,1,1,Android,231.0,17.005142887096774,81,1.0,1.0,2725,0.9996331621423332,1
148,retained,51,41,94.97103389,3202,180,0,1642.368888,1064.403306,23,21,iPhone,2.217391304347826,40.05777775609756,180,1.0,0.9130434782608696,3179,0.9928169893816364,0
149,retained,40,32,142.4369117,81,172,0,3296.985485,678.2867502,25,16,Android,1.6,103.03079640625,172,1.0,0.64,56,0.691358024691358,1
150,retained,33,30,66.8912126,1324,221,0,3991.841876,811.7367455,2,0,iPhone,16.5,133.06139586666666,221,1.0,0.0,1322,0.9984894259818732,0
151,churned,16,16,96.28488763,263,195,0,6457.34681,2797.664795,5,1,iPhone,3.2,403.584175625,195,1.0,0.2,258,0.9809885931558936,0
152,retained,130,108,186.1927457,3116,243,126,9184.587914,5580.123677,24,15,iPhone,5.416666666666667,85.04248068518518,369,1.0,0.625,3092,0.9922978177150192,0
153,retained,7,6,58.86116655,350,0,13,1838.430447,589.7720026,25,20,iPhone,0.28,306.4050745,13,1.0,0.8,325,0.9285714285714286,0
154,retained,219,188,280.4192673,2306,0,77,3353.748203,839.8553132,13,7,Android,16.846153846153847,17.839086186170213,77,1.0,0.5384615384615384,2293,0.9943625325238508,1
155,retained,260,208,593.8376512,720,20,0,2752.548464,511.8992854,10,8,Android,26.0,13.233406076923076,20,1.0,0.8,710,0.9861111111111112,1
156,retained,14,13,62.99429299,843,35,7,1945.668314,1482.244178,24,22,Android,0.5833333333333334,149.66679338461535,42,1.0,0.9166666666666666,819,0.9715302491103204,1
157,retained,161,129,647.4846853,672,0,31,4800.011104,3955.734301,15,14,iPhone,10.733333333333333,37.209388403100775,31,1.0,0.9333333333333332,657,0.9776785714285714,0
158,retained,97,78,423.9110606,1613,127,0,5035.613545,3271.766085,13,10,iPhone,7.461538461538462,64.55914801282051,127,1.0,0.7692307692307693,1600,0.9919404835709856,0
159,retained,190,154,309.6783197,400,83,7,1789.478603,1418.241292,23,22,Android,8.26086956521739,11.61999092857143,90,1.0,0.9565217391304348,377,0.9425,1
160,retained,127,104,156.3539388,2184,0,48,9913.302189,2062.89733,25,25,iPhone,5.08,95.32021335576924,48,1.0,1.0,2159,0.9885531135531136,0
161,retained,41,33,167.2110599,2329,0,78,4795.348762,1610.18192,25,23,iPhone,1.64,145.31359884848484,78,1.0,0.92,2304,0.9892657793044224,0
162,,3,3,17.25022014,3203,22,0,11819.36633,3351.019594,3,0,iPhone,1.0,3939.7887766666663,22,1.0,0.0,3200,0.9990633780830472,0
163,retained,17,14,88.08790771,2992,123,53,2225.986252,1173.622402,22,15,Android,0.7727272727272727,158.999018,176,1.0,0.6818181818181818,2970,0.9926470588235294,1
164,retained,43,43,171.9048024,1307,50,9,2683.155744,877.2887424,29,23,iPhone,1.4827586206896552,62.39897079069768,59,1.0,0.7931034482758621,1278,0.9778117827084928,0
165,retained,143,114,166.2799211,3095,111,15,4933.769533,2255.994717,11,6,iPhone,13.0,43.27868011403508,126,1.0,0.5454545454545454,3084,0.9964458804523424,0
166,retained,140,113,185.1143893,2137,137,28,3294.554435,1909.513018,9,9,iPhone,15.555555555555555,29.15534898230089,165,1.0,1.0,2128,0.99578848853533,0
167,churned,64,64,296.5899668,273,701,104,2196.549568,1414.4318,19,18,Android,3.3684210526315788,34.321087,805,1.0,0.9473684210526316,254,0.9304029304029304,1
